                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.96348,                0.73438,                 1.2186,                0.77605,                0.80017,                0.82012,                0.55344,                  1.207,                0.86881,                 1.4617,               0.001208,               0.001208,               0.001208
                     82,                0.96453,                0.72967,                 1.2293,                0.79673,                 0.7813,                0.81743,                 0.5485,                 1.2235,                0.85113,                 1.4865,              0.0011981,              0.0011981,              0.0011981
                     83,                0.97671,                0.74338,                 1.2358,                0.78615,                0.78816,                0.82719,                0.55488,                 1.2293,                0.87614,                 1.4838,              0.0011882,              0.0011882,              0.0011882
                     84,                0.95521,                0.70806,                 1.2059,                0.77254,                0.79074,                0.81334,                0.54829,                 1.2035,                 0.8556,                 1.4555,              0.0011783,              0.0011783,              0.0011783
                     85,                 0.9458,                0.71312,                 1.2039,                0.78989,                0.79417,                0.81357,                0.54579,                 1.2149,                0.85842,                 1.4769,              0.0011684,              0.0011684,              0.0011684
                     86,                0.94757,                0.70551,                 1.1999,                0.77443,                0.81853,                0.80887,                0.54784,                 1.1952,                0.86027,                 1.4501,              0.0011585,              0.0011585,              0.0011585
                     87,                0.94328,                0.69865,                 1.1925,                0.78171,                0.78315,                0.81457,                0.55679,                 1.1994,                0.83269,                  1.453,              0.0011486,              0.0011486,              0.0011486
                     88,                 0.9428,                0.69588,                 1.1961,                 0.7818,                0.79894,                0.81766,                0.55382,                  1.216,                0.85603,                  1.465,              0.0011387,              0.0011387,              0.0011387
                     89,                0.94734,                0.70205,                 1.1975,                0.76484,                0.80055,                0.80917,                 0.5447,                 1.2008,                0.86741,                 1.4541,              0.0011288,              0.0011288,              0.0011288
                     90,                 0.9265,                0.68203,                 1.1926,                0.80494,                 0.7916,                0.82181,                0.55671,                 1.2116,                0.81549,                 1.4711,              0.0011189,              0.0011189,              0.0011189
                     91,                0.93067,                 0.6945,                 1.1887,                0.80712,                0.78645,                0.82049,                0.55493,                 1.2014,                0.84084,                 1.4604,               0.001109,               0.001109,               0.001109
                     92,                 0.9435,                0.71861,                 1.1994,                0.82103,                0.78689,                0.82724,                0.56064,                 1.2098,                0.80974,                 1.4714,              0.0010991,              0.0010991,              0.0010991
                     93,                0.93019,                0.68219,                 1.1841,                0.82047,                0.76501,                0.82424,                0.56204,                 1.2025,                0.82472,                 1.4655,              0.0010892,              0.0010892,              0.0010892
                     94,                0.92856,                0.67397,                   1.19,                0.79315,                0.78902,                 0.8115,                0.55369,                 1.2056,                0.87724,                 1.4625,              0.0010793,              0.0010793,              0.0010793
                     95,                0.91333,                0.69926,                 1.1788,                0.80953,                0.76547,                0.81672,                0.55334,                 1.2048,                0.85577,                  1.467,              0.0010694,              0.0010694,              0.0010694
                     96,                0.95088,                0.72719,                 1.1908,                0.81398,                0.78731,                0.81605,                0.55446,                 1.2212,                0.84463,                 1.4717,              0.0010595,              0.0010595,              0.0010595
                     97,                0.92078,                0.65628,                 1.1898,                0.82349,                0.78426,                0.81641,                0.55774,                  1.232,                0.86904,                 1.4939,              0.0010496,              0.0010496,              0.0010496
                     98,                0.90942,                0.66078,                 1.1734,                0.82716,                0.77273,                0.82566,                0.56395,                 1.2042,                0.84983,                 1.4755,              0.0010397,              0.0010397,              0.0010397
                     99,                0.90758,                0.67247,                 1.1668,                0.80834,                0.78302,                0.82332,                0.56316,                  1.202,                0.83237,                 1.4661,              0.0010298,              0.0010298,              0.0010298
                    100,                0.90171,                0.65778,                 1.1703,                0.77378,                0.82075,                0.81725,                0.55762,                 1.1908,                0.80146,                 1.4643,              0.0010199,              0.0010199,              0.0010199
                    101,                 0.9315,                0.65869,                 1.1972,                0.80589,                0.79331,                0.81548,                0.55445,                 1.2002,                0.83107,                 1.4572,                0.00101,                0.00101,                0.00101
                    102,                 0.9116,                0.74127,                 1.1758,                0.82241,                0.78731,                0.82145,                0.56023,                  1.204,                0.82446,                 1.4768,              0.0010001,              0.0010001,              0.0010001
                    103,                0.91564,                0.69615,                 1.1942,                0.80393,                0.79824,                 0.8148,                0.55636,                 1.2051,                 0.8185,                 1.4838,              0.0009902,              0.0009902,              0.0009902
                    104,                0.92446,                0.68909,                  1.215,                0.81497,                0.79331,                0.81869,                0.55423,                 1.2276,                0.83719,                 1.4853,              0.0009803,              0.0009803,              0.0009803
                    105,                0.89895,                0.65342,                 1.1658,                 0.8224,                0.79245,                0.81986,                0.55314,                 1.2133,                0.84486,                 1.4825,              0.0009704,              0.0009704,              0.0009704
                    106,                0.88369,                 0.6329,                 1.1573,                0.80809,                0.78816,                0.81734,                0.55625,                 1.2077,                0.83495,                 1.4915,              0.0009605,              0.0009605,              0.0009605
                    107,                0.88923,                0.63414,                 1.1602,                0.81046,                0.79245,                0.81598,                0.55348,                 1.2121,                0.85598,                 1.4794,              0.0009506,              0.0009506,              0.0009506
                    108,                0.89255,                 0.6583,                 1.1715,                 0.8153,                0.79417,                0.81216,                0.54954,                 1.2283,                0.83951,                 1.4832,              0.0009407,              0.0009407,              0.0009407
                    109,                0.87375,                0.64518,                 1.1551,                0.81636,                0.79299,                0.83368,                0.56368,                 1.2298,                0.81999,                 1.4844,              0.0009308,              0.0009308,              0.0009308
                    110,                0.87576,                0.62824,                 1.1549,                0.82296,                 0.7854,                0.81931,                0.55562,                 1.2002,                0.84663,                 1.4701,              0.0009209,              0.0009209,              0.0009209
                    111,                 0.8628,                 0.6223,                 1.1489,                0.81174,                0.78397,                0.81339,                0.55488,                 1.2154,                0.82344,                 1.4941,               0.000911,               0.000911,               0.000911
                    112,                0.88132,                0.62745,                 1.1682,                0.79423,                0.80017,                0.82208,                0.56214,                 1.2353,                0.85156,                 1.5079,              0.0009011,              0.0009011,              0.0009011
